Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Accra,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,66.2,157,Unhealthy,83.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,109.6,179,Unhealthy,152.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,100.8,174,Unhealthy,92.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,104.4,176,Unhealthy,108.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,77.7,162,Unhealthy,51.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,66.3,157,Unhealthy,55.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,54.6,148,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,53.3,145,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,52.1,142,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,50.5,138,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,49.7,136,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,52.3,142,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,49.1,134,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,48.5,133,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,46.7,129,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,48.2,132,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,48.1,132,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,47.5,131,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,49.5,135,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,50.4,138,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,51.1,139,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,52.2,142,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,51.8,141,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,54.5,148,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,56.3,151,Unhealthy,61.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,57.0,152,Unhealthy,59.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,55.7,151,Unhealthy,52.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,53.8,146,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,52.1,142,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,51.3,140,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,53.8,146,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,55.9,151,Unhealthy,62.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,54.9,149,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,54.1,147,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,53.4,145,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 12:00 PM,2021,01,02,12,50.9,139,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 01:00 PM,2021,01,02,13,49.2,135,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 02:00 PM,2021,01,02,14,46.9,129,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 03:00 PM,2021,01,02,15,44.0,122,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 04:00 PM,2021,01,02,16,41.4,116,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 05:00 PM,2021,01,02,17,38.3,108,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 06:00 PM,2021,01,02,18,39.0,110,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 07:00 PM,2021,01,02,19,37.2,105,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 08:00 PM,2021,01,02,20,37.7,106,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 09:00 PM,2021,01,02,21,36.3,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 10:00 PM,2021,01,02,22,36.9,104,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-02 11:00 PM,2021,01,02,23,35.0,99,Moderate,31.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 12:00 AM,2021,01,03,00,34.3,98,Moderate,33.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 01:00 AM,2021,01,03,01,34.0,97,Moderate,33.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 02:00 AM,2021,01,03,02,40.3,113,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 03:00 AM,2021,01,03,03,41.0,115,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 04:00 AM,2021,01,03,04,39.4,111,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 05:00 AM,2021,01,03,05,36.5,103,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 06:00 AM,2021,01,03,06,35.5,101,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 07:00 AM,2021,01,03,07,38.8,109,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 08:00 AM,2021,01,03,08,40.8,114,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 09:00 AM,2021,01,03,09,39.7,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 10:00 AM,2021,01,03,10,41.8,117,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 11:00 AM,2021,01,03,11,40.3,113,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 12:00 PM,2021,01,03,12,40.2,113,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 01:00 PM,2021,01,03,13,37.5,106,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 02:00 PM,2021,01,03,14,37.1,105,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 03:00 PM,2021,01,03,15,35.6,101,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 04:00 PM,2021,01,03,16,33.4,96,Moderate,30.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 05:00 PM,2021,01,03,17,32.6,94,Moderate,31.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 06:00 PM,2021,01,03,18,31.7,92,Moderate,30.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 07:00 PM,2021,01,03,19,32.1,93,Moderate,33.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 08:00 PM,2021,01,03,20,29.9,88,Moderate,27.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 09:00 PM,2021,01,03,21,29.5,88,Moderate,29.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 10:00 PM,2021,01,03,22,28.9,86,Moderate,27.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-03 11:00 PM,2021,01,03,23,30.2,89,Moderate,33.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 12:00 AM,2021,01,04,00,29.9,88,Moderate,29.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 01:00 AM,2021,01,04,01,32.2,93,Moderate,38.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 02:00 AM,2021,01,04,02,34.9,99,Moderate,40.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 03:00 AM,2021,01,04,03,33.6,96,Moderate,31.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 04:00 AM,2021,01,04,04,32.7,94,Moderate,31.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 05:00 AM,2021,01,04,05,32.5,94,Moderate,32.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 06:00 AM,2021,01,04,06,31.7,92,Moderate,30.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 07:00 AM,2021,01,04,07,32.7,94,Moderate,35.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 08:00 AM,2021,01,04,08,37.1,105,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 09:00 AM,2021,01,04,09,42.9,119,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 10:00 AM,2021,01,04,10,40.8,114,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 11:00 AM,2021,01,04,11,43.8,121,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 12:00 PM,2021,01,04,12,41.4,116,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 01:00 PM,2021,01,04,13,37.3,105,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 02:00 PM,2021,01,04,14,35.2,100,Moderate,32.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 03:00 PM,2021,01,04,15,34.3,98,Moderate,33.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 04:00 PM,2021,01,04,16,31.4,92,Moderate,28.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 05:00 PM,2021,01,04,17,32.9,95,Moderate,35.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 06:00 PM,2021,01,04,18,32.9,95,Moderate,33.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 07:00 PM,2021,01,04,19,34.7,99,Moderate,37.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 08:00 PM,2021,01,04,20,32.6,94,Moderate,30.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2021-01-04 09:00 PM,2021,01,04,21,31.9,93,Moderate,31.0,UG/M3,1 Hr,Valid
